ID,OverlapType,Pages,Entity,Attribute,Settings,DominantIntent,Role,Resolution,OrderOfResolution,BaselineWords,TargetWords,RedirectedURLs
C1,role_confusion (hub vs foundational)," /axolotls, /axolotls/care-guide ",axolotl,care,n/a," navigational (hub) / informational-owner (care-guide)",Hub / Foundational,"Differentiate: hub title_tag/meta/h1/intro to an index/exploration framing; search routes 'care guide'/'how to care' to the article (role-aware dedupe, Phase 9-B).",1. preserve+differentiate roles -> 2. rewrite titles/H1s/intros -> 6. search routing (no redirect),124 / 3060,"unchanged (hub) / unchanged",none
C2,general->specific," /health/stress-signs, /health/curled-gills-stress-signal, /health/why-axolotl-floating ",axolotl,stress (state space),n/a,diagnostic (all three),"Diagnostic umbrella / Diagnostic deep-dive / Diagnostic deep-dive","KEEP all: stress-signs becomes the explicit umbrella with a sign->page routing callout; state pages stay deep dives.",1. preserve+differentiate (umbrella role made real) -> 5. contextual links,576 / 1061 / 1588,"~760 (routing callout only) / unchanged / unchanged",none
C10,duplicated_passage," /diet/feeding-schedule-by-age, /diet/fasting-and-vacation, /health/refusing-to-eat ",axolotl,fasting,n/a,"procedural (routine) / procedural (planned fast) / diagnostic (medical)","Procedural / Procedural / Diagnostic","One canonical planned-fast duration table on fasting-and-vacation; feeding-schedule & refusing-to-eat keep scope via role callouts + contextual off-ramp links instead of restating durations.",1. preserve roles -> 3. canonical owner (fast-duration table) -> 4. remove duplicated passage content by reference -> 5. contextual links,1763 / 2457 / 3347,unchanged,"/diet/fasting-and-vacation owns planned-fast durations",
C3,intent_overlap," /tank-setup/temperature, /tank-setup/aquarium-chillers ",axolotl water,temperature,n/a,procedural / comparative,"Procedural pillar / Comparative buying","Role callouts: temperature = keep-it-cool info; aquarium-chillers = which to buy. Reciprocal links stay.",1. differentiate roles -> 5. contextual links,5826 / 2699,unchanged,none
C4,intent_overlap," /tank-setup/filtration-for-axolotls, /tank-setup/canister-vs-sponge-filter ",axolotl tank,filtration (flow & media),n/a,comparative / comparative,"Principles-owner (relabeled informational) / Decision comparative","intro_override on filtration-for-axolotls to principles framing; role callouts; filter-for-axolotls owns overview, canister-vs-sponge owns the specific head-to-head.",1. rewrite intro/H1 -> 2. differentiate roles -> 5. contextual links,4274 / 6117,unchanged,none
C5,intent_overlap," /health/fungal-infections-saprolegnia, /health/black-tea-bath, /health/salt-bath ",Saprolegnia,fungus treatment,severity (mild/ severe),diagnostic / procedural / procedural,"Diagnostic (decision map) / Procedural / Procedural","fungal page owns the severity->treatment decision; tea-bath (mild first-line) and salt-bath (severe) own their procedures with scope callouts.",1. differentiate roles -> 3. canonical owner (decision) -> 5. contextual links,1791 / 2657 / 2277,unchanged,none
C6,general->specific," /health/impaction-symptoms-treatment, /diet/overfeeding-and-impaction, /tank-setup/substrate-and-impaction, /tank-setup/gravel-risks ",axolotl,impaction,cause (overfeeding / substrate / gravel),diagnostic / problem-solving / informational / problem-solving,"Diagnostic canonical / cause-detail pages","Thicken impaction-symptoms-treatment (impaction vs constipation + cause-routing table); cause pages keep depth and link back (canonical owner).",1. preserve roles -> 3. canonical owner -> 4. thicken canonical -> 5. contextual links,537 / 2891 / 4029 / 2647,"~900 (canonical only)",
C7,duplicated_passage + sibling," /care-basics/are-axolotls-good-beginner-pets, /care-basics/axolotls-and-children, /care-basics/cost-of-ownership-monthly ",axolotl,ownership (commitment / children / cost),n/a,definitional / definitional / transactional,"Definitional / Definitional / Transactional cost owner","cost page = single cost state owner (expand first-year); beginner & children pages link for cost rather than restating price figures.",1. preserve roles -> 3. canonical owner (cost) -> 4. dedupe passages -> 5. cross-nav links,1028 / 986 / 830,unchanged,none
C8,intent_overlap (role)," /biology-and-science/regeneration-and-limb-regrowth, /health/limb-regeneration ",axolotl,regeneration,n/a,informational / informational,"Explanatory (science) / Supporting (owner),"intro_override + role callouts: biology lane = mechanism; health lane = owner-facing what-to-do.",1. rewrite intro/H1 -> 2. differentiate roles -> 5. contextual links,629 / 860,unchanged,none
C9,intent_overlap," /morphs/morphs-comparison-chart, 13 morph pages ",morph,morph comparison,n/a,comparative / definitional,"Comparative consolidator / Definitional","Keep chart as consolidation owner; expand chart with a full at-a-glance table linking every morph + price-by-morph.",1. preserve roles -> 3. canonical owner (chart) -> 5. expand chart,466,~900,none
